movie,platform,review_text,date,year,rating,clean_text
Schindlers List,letterboxd,"I went to Auschwitz today, and wanted to put my thoughts down into a review forSchindler’s List.Auschwitz was practically empty; due to the restrictions on travel for COVID-19. Walking down the dirt roads in the camps and through the still-standing barracks alone was haunting. Because the SS was strict about photo and video inside the camps, Spielberg’s film kept coming to my mind as a reference to what it must have been like to be there during the…more",04 Oct 2020,2020,,i went to auschwitz today and wanted to put my thoughts down into a review forschindlers listauschwitz was practically empty due to the restrictions on travel for covid19 walking down the dirt roads in the camps and through the stillstanding barracks alone was haunting because the ss was strict about photo and video inside the camps spielbergs film kept coming to my mind as a reference to what it must have been like to be there during themore
Schindlers List,letterboxd,"“I sincerely thought that there was a time before Shoah, and a time after Shoah, and that after Shoah certain things could no longer be done. Spielberg did them anyway.”– Claude Lanzmann",25 Jul 2021,2021,½,i sincerely thought that there was a time before shoah and a time after shoah and that after shoah certain things could no longer be done spielberg did them anyway claude lanzmann
Schindlers List,letterboxd,lmao of course my mom calls me right when I’m tearing up during the “I could’ve saved more!” scene,11 Mar 2023,2023,★★★★★,lmao of course my mom calls me right when im tearing up during the i couldve saved more scene
Schindlers List,letterboxd,"""Power - is when we have every justification to kill, and we don't.You think that's power?That's what the Emperor said. A man stole something, he's brought in before the Emperor, he throws himself down on the ground. He begs for mercy, he knows he's going to die. And the Emperor - pardons him. This worthless man, he lets him go.I think you are drunk.That's power, Amon. That - is power.""Thank you so much to@Harii_.i…more",11 Jul 2025,2025,★★★★★,power is when we have every justification to kill and we dontyou think thats powerthats what the emperor said a man stole something hes brought in before the emperor he throws himself down on the ground he begs for mercy he knows hes going to die and the emperor pardons him this worthless man he lets him goi think you are drunkthats power amon that is powerthank you so much toharii_imore
Schindlers List,letterboxd,"Black and white image decorated with one color. Color that reflects hatred, anger, aggression. This color appears in an innocent person, a child who is completely clueless about life. She is just a child, a child who would have her own future ahead of her, a child who deserves to spend her own childhood in the company of her loved ones. A red coat, on the shoulders of an innocent child, a coat that covers the innocence, surrounded by the…more",02 Jul 2024,2024,★★★★★,black and white image decorated with one color color that reflects hatred anger aggression this color appears in an innocent person a child who is completely clueless about life she is just a child a child who would have her own future ahead of her a child who deserves to spend her own childhood in the company of her loved ones a red coat on the shoulders of an innocent child a coat that covers the innocence surrounded by themore
Schindlers List,letterboxd,"One powerfully profound historical drama that is truly a crowning jewel in the filmography ofSteven Spielberg. The movie portrays the pain, emotions and horror of holocaust times through a compassionate act of humanity. The movie is technically brilliant, be it the production design, set pieces, black n white cinematography, seamless editing or the haunting background score. Placed at 195 minute runtime, there is no lags and the direction is excellent.Liam Neesondelivers a captivating performance, a career defining one.Ben Kingsley & Ralph Fienneswere solid as well. Rest of cast justify their roles. In respect to history n humanity, it is definitely a must watch hard hitting masterpiece.",23 Nov 2025,2025,★★★★★,one powerfully profound historical drama that is truly a crowning jewel in the filmography ofsteven spielberg the movie portrays the pain emotions and horror of holocaust times through a compassionate act of humanity the movie is technically brilliant be it the production design set pieces black n white cinematography seamless editing or the haunting background score placed at 195 minute runtime there is no lags and the direction is excellentliam neesondelivers a captivating performance a career defining oneben kingsley ralph fienneswere solid as well rest of cast justify their roles in respect to history n humanity it is definitely a must watch hard hitting masterpiece
Schindlers List,letterboxd,"It’s amazing how much of the film is setup via its opening juxtaposition: Spielberg gives us every little detail of Oskar Schindler’s preparation for the evening - a quick shot of cognac, deciding which tailored suit he’d like to wear, laying out his assortment of ties, determining what the right cufflinks are for the evening, fixing a flawless collar, folding a perfect white handkerchief for his breast pocket, lovingly putting on a designer wristwatch and topping it all by finally…more",27 Aug 2023,2023,★★★★★,its amazing how much of the film is setup via its opening juxtaposition spielberg gives us every little detail of oskar schindlers preparation for the evening a quick shot of cognac deciding which tailored suit hed like to wear laying out his assortment of ties determining what the right cufflinks are for the evening fixing a flawless collar folding a perfect white handkerchief for his breast pocket lovingly putting on a designer wristwatch and topping it all by finallymore
Schindlers List,letterboxd,"Why does the most famous piece of Holocaust media concern the supposedly heroic deeds of a Nazi industrialist? SCHINDLER’S LIST is a 195 minute movie that shifts a barely peripheral figure in the narrative of the Holocaust front and center, in what has unfortunately become many people’s only association with history’s largest ever genocide. Spielberg’s indiscretions do not end with his lack of scope and shoddy attempt at covering it up, however - the work overall amounts to a frequently…more",07 Oct 2018,2018,★★,why does the most famous piece of holocaust media concern the supposedly heroic deeds of a nazi industrialist schindlers list is a 195 minute movie that shifts a barely peripheral figure in the narrative of the holocaust front and center in what has unfortunately become many peoples only association with historys largest ever genocide spielbergs indiscretions do not end with his lack of scope and shoddy attempt at covering it up however the work overall amounts to a frequentlymore
Schindlers List,letterboxd,"a masterpiece in every way possible. i’m lost for words on how tragic, how powerful, how astounding this is.my favourite feature filmsshedding tears",25 Jul 2020,2020,★★★★★,a masterpiece in every way possible im lost for words on how tragic how powerful how astounding this ismy favourite feature filmsshedding tears
Schindlers List,letterboxd,Never thought Ralph Fiennes could play a character more despicable than THE LITERAL LORD VOLDEMORT and yet...Best Picture Winners RankedBest Director Winners RankedSteven Spielberg Ranked,21 Apr 2020,2020,★★★★½,never thought ralph fiennes could play a character more despicable than the literal lord voldemort and yetbest picture winners rankedbest director winners rankedsteven spielberg ranked
Schindlers List,letterboxd,"As unbelievable as it may sound from me, I must applaud Spielberg's mainstream boldness for bringing to the big screen his last masterpiece: a strong and accurate portrayal of the horrors of the Holocaust. This is Spielberg's attempt to outdo himself, and he is successful at it. Liam Neeson at his best role and a powerful black-and-white cinematography make the tiny probability of the popular opinion, the Academy and my perception to coincide so perfectly, possible.96/100",28 Jun 2013,2013,★★★★★,as unbelievable as it may sound from me i must applaud spielbergs mainstream boldness for bringing to the big screen his last masterpiece a strong and accurate portrayal of the horrors of the holocaust this is spielbergs attempt to outdo himself and he is successful at it liam neeson at his best role and a powerful blackandwhite cinematography make the tiny probability of the popular opinion the academy and my perception to coincide so perfectly possible96100
Schindlers List,letterboxd,"Schindler's Listwas just the perfect watch for my 800th film. I have held this film back for such a long time, and I truly regret that I waited till now to watch it. This is definitely Steven Spielberg's best film, but a film that is truly powerful and important. The horrors of the Holocaust are highlighted perfectly, especially with the ruthless Nazis, the living conditions in the concentration camps, and the way that Jews were treated overall. Oskar Schindler…more",11 Nov 2024,2024,★★★★★,schindlers listwas just the perfect watch for my 800th film i have held this film back for such a long time and i truly regret that i waited till now to watch it this is definitely steven spielbergs best film but a film that is truly powerful and important the horrors of the holocaust are highlighted perfectly especially with the ruthless nazis the living conditions in the concentration camps and the way that jews were treated overall oskar schindlermore
